loch,dist,alt,area,ph,comp,inve,vert,sl,plate
atan,0.68,13,0.08,5.9,no,no,yes,30,1
bhpa,1.11,8,0.53,6,no,no,yes,30.7,1
bhrd,1.6,8,0.36,5.5,no,no,yes,30.4,0
brru,0.35,4,0.44,6.6,no,no,yes,28.1,1
byon,0.04,3,0.41,8.4,yes,no,no,41.5,8
call,0.21,9,0.02,5.8,no,yes,yes,29.2,1
cean,0.43,13,0.03,7.4,no,no,yes,32.3,3
chir,0.46,12,0.091,6.4,no,yes,yes,32.8,1
chra,2.2,21,0.08,6.3,yes,no,yes,34.8,2
clod,0.11,5,0.09,8,no,yes,no,36.9,6
cral,0.08,8,0.01,6.5,no,yes,yes,30.5,1
crat,0.24,7,0.135,7.2,no,yes,no,35.3,5
crdh,0.22,4,0.13,7.4,yes,yes,yes,37.7,2
crge,0.57,14,0.02,6.6,no,no,yes,30.7,3
cuag,0.56,17,0.022,5.7,no,yes,yes,30.9,1
damh,1.25,8,0.04,6.2,yes,no,yes,32.9,2
dury,0.48,8,0.23,6.5,yes,no,yes,33.1,1
eual,1.11,8,0.34,7.6,yes,yes,yes,31.5,3
euun,3.19,7,1.4,5.6,yes,no,yes,27.1,1
fada,1.03,8,1.93,6.4,no,no,yes,29.8,2
fean,0.38,3,0.06,7.6,yes,yes,yes,38.3,9
gagh,0.72,9,0.071,5.8,no,yes,yes,32,0
gann,1.39,6,0.115,6.6,yes,yes,yes,30.6,2
gedh,0.5,12,0.03,5.8,no,yes,yes,28.1,0
genn,0.29,7,1.87,6.2,no,no,yes,29.5,2
hoch,0.55,9,0.33,7.8,yes,yes,yes,35.9,4
hory,1.7,18,0.044,6.5,yes,no,yes,38.8,3
huat,1.45,27,0.1,6.5,no,yes,yes,26.1,2
huna,2.25,8,0.52,6.4,no,no,yes,29.7,3
maan,1.13,9,0.062,7.8,yes,no,yes,40.1,5
madd,0.02,2,0.24,8.5,no,no,yes,43.1,10
main,0.87,6,0.1,6.3,yes,no,yes,30.9,1
mari,1.87,19,0.04,6.1,no,no,no,38.6,2
moga,0.47,9,0.04,6.6,no,no,yes,35.6,4
moha,0.92,10,0.43,6,yes,no,yes,30.6,2
moie,0.18,5,0.02,6.8,yes,no,yes,26.9,3
muig,1.96,10,0.02,5.4,no,no,yes,26,0
nihe,0.06,9,0.011,6.7,no,yes,no,30.8,4
noey,2.86,10,1.12,5.5,yes,no,yes,27.6,0
prki,0.02,11,0.14,6.8,no,yes,yes,30.4,4
reen,1.39,8,0.02,6.2,no,no,yes,30,2
reil,0.05,4,0.06,8.4,yes,yes,no,34.6,5
rudh,0.42,15,0.021,6.5,no,yes,no,29.4,3
saey,1.1,8,0.1,7.6,yes,yes,yes,29.7,2
scie,1.15,3,0.1,7,yes,yes,yes,42.7,7
sgir,0.63,4,0.54,6.5,yes,no,yes,35.4,6
soey,0.41,9,0.94,6.4,yes,no,yes,28.4,2
stan,0.24,8,0.11,6.5,no,no,yes,32.6,3
stat,0.5,9,0.03,6.8,no,no,yes,28.2,4
sulg,0.86,18,0.02,5.7,no,yes,yes,28.5,1
tann,0.44,6,0.111,6.1,no,yes,yes,32.6,2
toad,0.83,6,0.21,6.5,yes,yes,yes,29.7,4
toag,0.65,8,0.06,5.6,no,yes,yes,29.4,2
toim,0.73,8,0.18,7.2,yes,no,yes,30.1,3
viat,0.79,22,0.21,6,no,no,yes,26,0
ziba,0.21,3,0.02,6.8,no,yes,no,30.8,5
zuov,0.12,9,0.01,6.2,yes,no,yes,26.3,2